Country,Country Code,year,GDP_USD,GDP_per_capita_USD
Singapore,SGP,2008,1.93612E+11,40007.46926
United States,USA,2008,1.47699E+13,48570.04598
Australia,AUS,2009,9.28043E+11,42783.32257
China,CHN,2009,5.1017E+12,3832.236432
United Kingdom,GBR,2009,2.4258E+12,38952.21103
Luxembourg,LUX,2009,54467289898,109419.747
Singapore,SGP,2009,1.94152E+11,38927.20688
United States,USA,2009,1.44781E+13,47194.94335
Australia,AUS,2010,1.14759E+12,52087.97229
China,CHN,2010,6.08716E+12,4550.453108
United Kingdom,GBR,2010,2.49111E+12,39688.61497
Luxembourg,LUX,2010,56213985987,110885.9914
Singapore,SGP,2010,2.39809E+11,47236.96023
United States,USA,2010,1.5049E+13,48650.64313
Australia,AUS,2011,1.39791E+12,62574.1457
China,CHN,2011,7.5515E+12,5614.352135
United Kingdom,GBR,2011,2.67489E+12,42284.88449
Luxembourg,LUX,2011,61696281326,119025.0572
Singapore,SGP,2011,2.79351E+11,53890.42873
United States,USA,2011,1.55997E+13,50065.9665
Australia,AUS,2012,1.54651E+12,68027.84171
China,CHN,2012,8.53223E+12,6300.615118
United Kingdom,GBR,2012,2.71916E+12,42686.80005
Luxembourg,LUX,2012,59776383527,112584.6763
Singapore,SGP,2012,2.95087E+11,55546.48854
United States,USA,2012,1.6254E+13,51784.41857
Australia,AUS,2013,1.57634E+12,68156.62792
China,CHN,2013,9.57041E+12,7020.338485
United Kingdom,GBR,2013,2.80329E+12,43713.81412
Luxembourg,LUX,2013,65203276467,120000.1407
Singapore,SGP,2013,3.07576E+11,56967.42579
United States,USA,2013,1.68432E+13,53291.12769
Australia,AUS,2014,1.4675E+12,62511.69059
China,CHN,2014,1.04757E+13,7636.116601
United Kingdom,GBR,2014,3.08717E+12,47787.2413
Luxembourg,LUX,2014,68804811898,123678.7021
Singapore,SGP,2014,3.14851E+11,57562.53079
United States,USA,2014,1.75507E+13,55123.84979
Australia,AUS,2015,1.35053E+12,56707.02208
China,CHN,2015,1.10616E+13,8016.431435
United Kingdom,GBR,2015,2.95657E+12,45404.56777
Luxembourg,LUX,2015,60071584216,105462.0126
Singapore,SGP,2015,3.08004E+11,55646.61875
United States,USA,2015,1.8206E+13,56762.72945
Australia,AUS,2016,1.20669E+12,49881.76371
China,CHN,2016,1.12333E+13,8094.363367
United Kingdom,GBR,2016,2.72285E+12,41499.5557
Luxembourg,LUX,2016,62216885436,106899.2935
Singapore,SGP,2016,3.18832E+11,56860.41324
United States,USA,2016,1.86951E+13,57866.74493
Australia,AUS,2017,1.32688E+12,53934.25018
China,CHN,2017,1.23104E+13,8816.986905
United Kingdom,GBR,2017,2.69902E+12,40857.75558
Luxembourg,LUX,2017,65712180343,110193.2138
Singapore,SGP,2017,3.43193E+11,61150.7272
United States,USA,2017,1.94796E+13,59914.7778
Australia,AUS,2018,1.42853E+12,57180.7794
China,CHN,2018,1.38948E+13,9905.342004
United Kingdom,GBR,2018,2.90079E+12,43646.95197
Luxembourg,LUX,2018,71285019397,117254.7404
Singapore,SGP,2018,3.76998E+11,66859.33834
United States,USA,2018,2.05272E+13,62805.25376
Australia,AUS,2019,1.39195E+12,54875.28596
China,CHN,2019,1.42799E+13,10143.8382
United Kingdom,GBR,2019,2.87867E+12,43070.49836
Luxembourg,LUX,2019,70195715496,113218.7133
Singapore,SGP,2019,3.75473E+11,65831.18943
United States,USA,2019,2.13726E+13,65094.79943
Australia,AUS,2020,1.32784E+12,51680.31652
China,CHN,2020,1.46877E+13,10408.66976
United Kingdom,GBR,2020,2.7569E+12,41098.07865
Luxembourg,LUX,2020,73353132794,116356.158
Singapore,SGP,2020,3.45296E+11,60729.45035
United States,USA,2020,2.08937E+13,63027.67953
Australia,AUS,2021,1.54266E+12,59934.12941
China,CHN,2021,1.77341E+13,12556.33312
United Kingdom,GBR,2021,3.18686E+12,47334.35531
Luxembourg,LUX,2021,86710803337,135682.7943
Singapore,SGP,2021,3.96987E+11,72794.00302
United States,USA,2021,2.29961E+13,69287.53659
